source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,risk_percent
pond,0.34,27.446,9.891,0.811,1,16.156,Winter,7.31,19.337,1,40.486
deep_borehole,0.955,27.783,6.471,0.386,11,16.24,Autumn,7.593,20.222,3,45.573
river,0.504,28.426,3.545,0.927,4,5.176,Summer,7.555,7.067,2,21.623
spring,4.076,29.414,4.867,0.153,10,29.018,Autumn,7.406,20.1,2,44.696
river,7.119,29.457,5.157,0.337,12,15.406,Winter,7.458,5.206,5,25.262
spring,7.6,22.07,5.84,0.426,10,25.907,Autumn,7.435,23.012,3,56.659
rooftop_rainwater,3.115,29.644,5.065,0.687,1,26.212,Winter,7.277,8.69,1,26.717
spring,24.258,24.016,8.216,0.195,6,179.039,Monsoon,7.716,3.677,0,54.575
river,4.593,27.395,7.269,0.01,2,13.071,Winter,7.184,7.312,2,29.693
spring,0.466,25.778,7.767,0.977,5,52.863,Summer,7.792,1.864,3,16.668
rooftop_rainwater,3.57,22.082,7.645,0.899,3,22.843,Summer,7.68,15.021,3,28.513
rooftop_rainwater,7.574,28.481,6.632,0.3,6,57.192,Monsoon,6.547,0.396,0,30.866
open_catchment,5.246,23.632,4.661,0.483,9,26.737,Monsoon,8.316,21.236,2,49.603
spring,3.2,30.576,4.733,0.489,12,187.788,Winter,7.194,12.118,1,63.055
reservoir,1.408,22.71,4.797,0.869,3,30.253,Summer,7.735,8.227,3,23.234
pond,17.102,21.987,5.362,0.597,9,35.464,Monsoon,7.536,1.961,2,30.035
piped_protected,55.584,23.011,9.54,0.826,5,104.464,Summer,8.15,20.414,1,58.781
shallow_well,3.998,29.486,4.756,0.912,2,22.516,Winter,6.729,24.49,4,55.6
rooftop_rainwater,4.807,20.298,9.217,0.566,10,89.351,Autumn,7.759,23.425,1,66.817
canal,9.624,27.739,5.419,0.285,12,104.979,Winter,7.962,7.698,3,37.964
piped_protected,12.674,30.497,4.967,0.499,10,18.594,Autumn,7.985,23.886,1,54.254
community_tank,4.976,24.492,7.632,0.851,10,71.305,Autumn,7.325,13.157,1,39.531
spring,23.531,23.821,8.901,0.584,10,12.526,Autumn,7.43,5.172,4,22.46
river,8.21,25.24,4.564,0.896,12,39.504,Winter,8.006,5.39,1,21.055
shallow_well,5.985,21.633,6.866,0.895,9,16.843,Monsoon,8.484,17.625,1,42.049
canal,10.404,32.945,8.781,0.373,3,30.016,Summer,7.848,1.0,3,29.879
piped_protected,30.534,27.009,8.366,0.448,9,63.314,Monsoon,7.574,24.087,2,64.705
spring,15.826,21.338,4.683,0.678,6,98.124,Monsoon,7.238,9.088,1,44.207
open_catchment,0.408,22.578,6.693,0.111,1,3.459,Winter,7.897,14.265,2,34.289
community_tank,4.039,25.537,4.586,0.466,1,13.641,Winter,8.013,16.246,1,39.229
shallow_well,6.359,21.117,7.561,0.149,11,123.441,Autumn,7.605,0.56,0,40.012
pond,3.776,20.487,7.248,0.848,3,32.091,Summer,7.969,16.827,2,31.756
open_catchment,12.046,25.881,7.848,0.943,5,31.097,Summer,7.264,18.182,3,41.921
canal,17.502,28.018,5.567,0.142,6,85.936,Monsoon,7.381,3.076,0,31.492
shallow_well,13.143,27.746,5.951,0.667,5,3.121,Summer,7.786,9.999,0,29.04
open_catchment,45.406,24.821,8.483,0.637,8,12.096,Monsoon,7.937,14.77,2,38.823
community_tank,3.182,24.176,8.546,0.76,6,85.693,Monsoon,7.122,7.958,0,32.094
pond,20.794,25.155,9.508,0.696,2,6.29,Winter,8.055,23.145,4,47.37
open_catchment,14.551,27.976,9.132,0.217,5,33.244,Summer,6.663,15.805,0,42.884
deep_borehole,4.497,21.23,4.527,0.291,12,4.42,Winter,7.75,21.736,3,56.538
pond,13.247,22.668,8.836,0.165,7,18.876,Monsoon,7.407,22.731,5,58.987
canal,1.099,23.867,6.948,0.921,2,98.28,Winter,7.455,21.782,5,50.15
community_tank,15.575,24.273,8.091,0.522,5,5.318,Summer,7.558,15.475,2,37.835
reservoir,7.6,24.837,6.493,0.976,12,23.415,Winter,7.526,43.399,1,88.374
spring,3.457,24.925,5.628,0.449,5,77.367,Summer,7.82,0.661,5,23.927
river,10.665,27.022,6.573,0.553,8,13.758,Monsoon,7.595,20.841,2,51.341
river,10.262,19.712,7.097,0.789,9,44.405,Monsoon,7.864,18.791,0,49.242
river,2.351,20.196,7.435,0.797,3,195.118,Summer,7.178,15.866,4,60.274
shallow_well,0.309,23.004,8.46,0.231,12,65.961,Winter,7.728,11.233,1,33.434
canal,5.685,27.591,5.443,0.288,4,39.551,Summer,8.585,16.289,3,82.18
community_tank,8.428,23.044,5.313,0.098,12,158.174,Winter,7.553,15.753,3,60.628
pond,20.924,24.877,4.555,0.805,9,37.081,Monsoon,7.273,21.65,4,48.45
shallow_well,26.341,25.384,6.667,0.794,9,28.121,Monsoon,7.423,1.935,1,16.758
canal,7.525,25.948,5.688,0.081,3,11.421,Summer,7.002,21.389,3,51.528
spring,14.016,29.694,6.503,0.257,2,74.526,Winter,7.263,22.222,2,59.391
deep_borehole,5.786,27.084,7.037,0.45,11,244.902,Autumn,7.776,10.42,3,68.771
community_tank,13.707,27.992,4.326,0.542,12,4.131,Winter,7.732,11.045,0,34.101
river,2.292,24.62,6.167,0.523,12,14.056,Winter,7.808,12.018,0,29.22
open_catchment,4.637,29.421,7.544,0.983,7,29.52,Monsoon,7.453,9.628,1,27.188
reservoir,10.057,25.215,7.103,0.764,4,13.609,Summer,6.939,0.217,0,20.909
community_tank,0.183,19.134,6.439,0.113,3,70.84,Summer,6.754,0.458,5,36.032
rooftop_rainwater,12.818,32.375,6.947,0.294,2,59.217,Winter,8.209,9.463,3,36.685
canal,18.051,25.139,6.592,0.345,10,47.856,Autumn,7.907,20.259,1,43.594
piped_protected,5.094,26.589,5.505,0.315,11,199.342,Autumn,7.449,23.257,0,85.161
spring,5.941,21.794,5.252,0.786,12,44.205,Winter,7.934,9.936,4,32.162
deep_borehole,19.057,31.591,11.031,0.361,8,18.906,Monsoon,8.65,4.512,2,85.455
spring,14.946,22.62,7.943,0.492,7,10.43,Monsoon,7.38,16.43,1,44.375
community_tank,3.399,23.844,8.622,0.533,11,51.486,Autumn,7.461,3.663,4,17.33
piped_protected,3.915,20.413,7.906,0.27,11,10.707,Autumn,7.692,12.73,1,37.97
rooftop_rainwater,11.359,26.094,9.089,0.323,5,66.945,Summer,7.891,11.219,3,32.473
pond,8.283,24.155,7.86,0.78,7,20.029,Monsoon,7.802,10.273,3,29.284
open_catchment,1.77,20.369,3.843,0.867,1,4.497,Winter,8.192,6.74,1,24.427
piped_protected,3.71,24.797,5.743,0.037,9,87.89,Monsoon,7.511,16.766,0,56.314
canal,23.024,25.284,7.354,0.605,8,56.418,Monsoon,6.715,15.866,1,35.838
river,11.653,24.258,7.313,0.633,11,70.815,Autumn,6.848,13.344,2,36.306
rooftop_rainwater,42.669,19.537,7.197,0.737,4,7.09,Summer,7.288,10.261,3,27.118
open_catchment,14.568,25.872,5.326,0.694,1,120.538,Winter,7.182,20.466,3,53.537
reservoir,28.469,21.197,6.158,0.877,12,203.49,Winter,7.85,4.26,2,46.26
deep_borehole,2.436,27.668,7.371,0.078,4,12.318,Summer,7.034,24.081,6,57.178
river,14.762,23.334,7.054,0.388,1,47.296,Winter,7.503,20.754,6,54.12
community_tank,0.204,27.783,8.163,0.782,6,21.826,Monsoon,7.183,24.627,2,59.187
piped_protected,11.11,25.042,5.388,0.847,8,21.398,Monsoon,7.067,24.034,1,55.435
open_catchment,6.335,25.196,7.729,0.265,11,42.019,Autumn,7.607,14.417,5,41.807
shallow_well,4.258,28.829,6.141,0.585,5,17.988,Summer,6.886,16.136,3,39.26
pond,19.834,22.554,6.466,0.181,9,27.076,Monsoon,7.744,7.455,3,32.511
reservoir,19.26,21.713,6.916,0.851,10,230.355,Autumn,7.829,1.164,1,45.611
pond,0.226,26.667,4.403,0.73,2,9.141,Winter,7.78,15.084,1,38.31
rooftop_rainwater,9.403,21.058,7.191,0.222,12,44.841,Winter,7.027,22.846,4,63.728
deep_borehole,4.586,22.604,8.887,0.624,2,315.695,Winter,6.97,11.78,3,81.175
rooftop_rainwater,5.373,20.263,5.176,0.509,4,33.747,Summer,7.447,6.086,3,22.266
shallow_well,17.84,28.455,9.787,0.259,6,65.399,Monsoon,7.756,23.466,5,72.339
canal,3.708,21.992,6.029,0.893,6,15.238,Monsoon,8.144,2.118,1,24.428
deep_borehole,28.656,23.037,7.884,0.148,6,13.615,Monsoon,7.656,6.671,1,34.594
spring,1.98,21.13,5.015,0.467,6,8.683,Monsoon,8.041,11.322,1,33.021
canal,10.868,23.844,10.239,0.583,1,35.152,Winter,7.248,20.881,2,47.233
deep_borehole,11.151,24.571,5.41,0.824,1,198.387,Winter,6.926,20.951,3,67.726
deep_borehole,2.906,27.478,7.311,0.15,12,60.331,Winter,7.579,6.666,3,30.316
shallow_well,3.927,21.034,6.196,0.609,3,37.991,Summer,8.181,23.028,0,53.167
community_tank,18.006,23.197,6.925,0.007,2,21.342,Winter,7.308,19.202,1,51.748
shallow_well,14.347,29.268,7.168,0.823,7,19.762,Monsoon,6.987,0.331,3,20.325
deep_borehole,3.991,28.123,6.511,0.235,6,14.135,Monsoon,7.834,21.819,1,58.012
open_catchment,7.635,22.967,5.98,0.721,5,15.893,Summer,7.303,18.568,1,42.874
canal,0.637,24.852,6.929,0.602,8,53.05,Monsoon,7.525,1.638,3,21.237
shallow_well,2.341,30.904,6.897,0.05,2,360.994,Winter,7.414,5.836,2,89.175
community_tank,6.652,21.418,7.486,0.183,11,75.59,Autumn,6.943,9.999,2,42.889
piped_protected,0.899,19.236,7.727,0.268,12,19.347,Winter,7.217,15.681,0,41.297
rooftop_rainwater,18.536,23.392,8.216,0.887,7,15.124,Monsoon,6.955,18.915,4,46.742
deep_borehole,12.659,24.75,7.842,0.481,10,14.149,Autumn,8.33,3.603,3,18.63
spring,28.759,22.593,7.198,0.914,4,313.252,Summer,7.653,3.267,2,69.68
piped_protected,11.824,27.931,6.615,0.047,11,79.367,Autumn,7.781,85.921,0,100.0
pond,28.201,25.632,4.701,0.007,12,48.235,Winter,7.598,7.601,0,33.426
river,8.086,23.187,7.233,0.948,3,100.105,Summer,7.757,7.886,2,35.497
community_tank,9.168,23.383,8.642,0.724,1,64.607,Winter,7.648,10.804,0,29.781
spring,37.71,22.761,5.849,0.783,10,4.002,Autumn,7.73,2.713,1,19.547
river,10.276,27.489,5.998,0.916,2,11.62,Winter,7.388,16.204,0,39.807
community_tank,0.313,23.582,8.958,0.985,7,101.18,Monsoon,7.88,6.085,0,25.185
open_catchment,12.866,21.421,9.449,0.098,3,279.572,Summer,8.277,17.051,0,97.172
rooftop_rainwater,23.588,27.886,5.748,0.158,11,121.549,Autumn,7.18,19.986,2,72.147
piped_protected,15.876,24.171,10.827,0.189,5,30.803,Summer,7.492,6.744,2,21.657
canal,8.767,20.92,7.626,0.818,11,53.942,Autumn,7.531,4.596,4,26.238
community_tank,11.126,30.138,8.385,0.356,3,12.71,Summer,8.611,9.799,1,82.923
canal,46.245,26.832,6.472,0.593,7,49.547,Monsoon,7.608,22.087,4,56.49
rooftop_rainwater,0.95,25.139,7.387,0.855,12,41.659,Winter,6.65,1.005,2,19.548
deep_borehole,11.003,24.364,7.639,0.683,4,32.471,Summer,8.057,5.278,2,20.275
pond,3.332,24.159,5.651,0.065,8,63.054,Monsoon,7.473,3.254,1,30.267
piped_protected,10.219,24.098,9.48,0.446,10,37.85,Autumn,6.92,2.281,1,19.741
rooftop_rainwater,9.355,24.179,6.941,0.068,8,2.246,Monsoon,8.015,21.523,1,54.298
rooftop_rainwater,1.666,23.231,6.25,0.479,4,17.783,Summer,7.682,11.513,4,20.575
open_catchment,2.316,24.69,5.262,0.219,12,16.557,Winter,7.295,12.707,4,32.126
river,9.719,23.172,7.844,0.001,2,27.758,Winter,7.814,6.046,1,27.061
pond,1.372,25.67,7.384,0.813,7,43.765,Monsoon,8.3,6.507,1,19.236
piped_protected,3.081,24.93,5.537,0.969,1,48.866,Winter,6.916,20.597,0,40.476
deep_borehole,18.033,22.899,7.21,0.964,12,26.08,Winter,8.258,21.58,5,46.365
deep_borehole,3.961,24.74,7.732,0.299,9,28.67,Monsoon,7.038,15.258,0,43.519
shallow_well,6.695,26.629,6.408,0.829,5,3.405,Summer,7.284,24.968,2,51.076
rooftop_rainwater,28.326,18.231,7.56,0.679,10,92.563,Autumn,7.493,24.323,0,65.968
community_tank,2.577,26.735,7.007,0.8,4,38.152,Summer,7.247,21.9,3,45.008
open_catchment,4.937,21.321,6.671,0.846,4,27.145,Summer,7.729,16.106,4,34.833
pond,9.326,23.623,5.56,0.98,11,23.885,Autumn,7.574,20.44,4,39.016
deep_borehole,14.079,16.511,7.299,0.152,12,7.576,Winter,7.233,5.338,1,23.442
piped_protected,23.193,26.697,3.889,0.77,12,228.67,Winter,7.192,18.625,3,75.883
shallow_well,24.707,22.779,9.157,0.734,9,16.973,Monsoon,7.405,3.579,2,20.146
piped_protected,14.99,23.501,8.781,0.288,1,6.855,Winter,7.788,4.192,2,16.013
open_catchment,2.592,25.272,5.463,0.393,4,26.933,Summer,5.861,20.681,2,82.953
community_tank,0.251,19.088,4.842,0.177,6,33.184,Monsoon,7.389,18.96,3,52.398
shallow_well,4.841,25.186,8.754,0.913,8,98.205,Monsoon,7.598,22.675,0,60.889
shallow_well,1.526,26.945,6.751,0.879,2,27.829,Winter,7.819,22.65,4,44.993
river,12.392,25.523,7.09,0.614,8,24.918,Monsoon,7.891,7.093,2,24.857
pond,10.821,23.818,7.036,0.512,9,15.124,Monsoon,7.403,17.056,4,43.773
shallow_well,0.45,25.123,5.029,0.233,8,7.482,Monsoon,7.426,9.687,3,27.716
reservoir,18.115,24.774,8.178,0.79,5,8.805,Summer,7.758,2.79,0,14.075
river,2.86,27.276,7.673,0.008,12,55.49,Winter,7.563,11.61,1,37.693
river,5.66,28.765,7.028,0.463,11,50.429,Autumn,6.983,12.319,2,39.914
open_catchment,11.024,23.767,3.597,0.861,1,83.635,Winter,8.106,16.364,2,46.993
reservoir,5.611,25.695,7.755,0.618,6,27.106,Monsoon,7.358,10.237,3,25.188
canal,5.821,22.997,7.567,0.635,1,144.118,Winter,7.283,4.348,0,36.962
piped_protected,0.679,26.25,6.858,0.071,11,12.976,Autumn,6.855,10.733,2,27.739
community_tank,5.132,26.38,8.448,0.287,4,20.858,Summer,7.586,5.705,2,18.578
spring,14.475,24.5,8.693,0.674,9,28.921,Monsoon,7.133,11.457,2,33.525
piped_protected,24.672,26.557,7.504,0.05,12,28.654,Winter,7.998,13.786,4,41.013
shallow_well,5.336,25.01,4.732,0.331,5,14.295,Summer,7.364,17.812,2,45.019
community_tank,5.509,24.856,5.102,0.354,7,12.125,Monsoon,7.14,9.51,0,29.725
deep_borehole,12.128,22.359,5.953,0.499,9,3.406,Monsoon,7.595,1.293,4,21.879
canal,28.607,25.516,6.627,0.362,4,152.436,Summer,6.957,13.382,2,54.77
deep_borehole,3.107,23.266,8.262,0.454,5,32.609,Summer,7.115,19.036,3,41.827
reservoir,5.801,27.609,7.494,0.547,6,22.473,Monsoon,7.031,21.094,3,50.682
deep_borehole,15.895,22.47,6.751,0.128,1,14.723,Winter,7.194,8.488,0,23.356
pond,9.408,25.807,7.943,0.18,10,35.136,Autumn,7.963,8.111,2,26.762
piped_protected,1.172,24.218,5.837,0.833,12,27.421,Winter,7.161,13.795,3,25.205
spring,9.881,25.799,7.94,0.46,5,179.323,Summer,7.419,19.481,1,74.184
open_catchment,2.067,24.825,7.342,0.355,10,19.885,Autumn,7.079,12.646,1,32.149
spring,7.138,22.546,7.785,0.434,4,23.54,Summer,7.357,78.944,3,100.0
deep_borehole,7.531,28.281,8.269,0.175,1,68.443,Winter,7.074,15.245,2,54.166
shallow_well,20.891,22.338,6.929,0.24,4,61.907,Summer,7.685,4.826,0,25.682
canal,6.208,26.928,4.013,0.516,5,9.887,Summer,7.402,10.373,3,26.351
rooftop_rainwater,3.277,19.905,6.011,0.359,9,54.346,Monsoon,7.402,20.959,2,63.328
spring,2.626,24.133,8.172,0.475,1,106.79,Winter,7.521,0.319,1,28.52
deep_borehole,20.735,29.588,6.153,0.15,6,134.762,Monsoon,7.996,13.395,2,60.319
canal,1.875,24.174,6.003,0.156,8,9.642,Monsoon,7.275,14.083,2,42.197
community_tank,5.549,25.289,7.093,0.384,9,31.064,Monsoon,7.318,3.401,2,23.619
piped_protected,2.072,29.808,8.64,0.379,11,11.055,Autumn,8.106,17.099,1,46.247
river,14.841,24.572,7.687,0.883,5,75.244,Summer,7.484,15.366,2,38.435
pond,6.432,25.777,9.611,0.033,2,37.377,Winter,7.771,10.303,3,30.582
canal,4.325,26.814,7.602,0.993,1,105.831,Winter,7.599,14.918,4,45.957
shallow_well,4.48,20.861,7.544,0.957,5,54.501,Summer,6.68,23.586,1,50.297
reservoir,19.12,23.543,6.649,0.542,11,13.157,Autumn,7.37,20.824,4,45.308
shallow_well,8.069,25.39,4.673,0.719,3,34.794,Summer,7.325,7.711,2,25.351
canal,12.654,20.212,7.221,0.935,6,15.382,Monsoon,7.394,24.148,2,60.132
shallow_well,22.734,29.109,7.062,0.251,9,11.221,Monsoon,8.091,20.985,2,50.034
piped_protected,23.202,27.269,7.995,0.316,11,19.375,Autumn,7.875,19.005,4,45.692
shallow_well,3.983,26.822,7.457,0.111,1,38.799,Winter,7.092,19.266,2,46.87
spring,30.46,28.96,7.404,0.564,4,12.434,Summer,7.711,2.636,2,23.227
river,0.252,27.17,8.703,0.159,4,36.227,Summer,6.99,6.43,4,19.241
shallow_well,4.729,24.31,6.608,0.931,12,8.613,Winter,8.075,14.14,0,30.594
river,22.614,20.103,8.258,0.432,7,5.126,Monsoon,7.443,17.394,1,41.655
deep_borehole,3.211,22.956,8.933,0.92,2,189.275,Winter,8.859,5.724,1,73.44
open_catchment,3.189,23.043,6.17,0.205,8,21.474,Monsoon,7.666,9.846,3,34.086
piped_protected,3.604,26.856,6.388,0.694,6,26.281,Monsoon,7.973,0.305,1,19.831
open_catchment,9.476,25.243,5.848,0.648,4,22.381,Summer,7.732,19.089,1,36.223
deep_borehole,5.768,20.304,4.964,0.4,3,53.166,Summer,7.479,8.773,0,33.029
piped_protected,12.973,27.595,9.766,0.898,10,37.669,Autumn,7.616,5.418,1,20.926
canal,22.529,28.988,11.778,0.435,12,77.676,Winter,7.924,18.237,3,53.757
canal,11.215,29.427,7.316,0.198,7,42.365,Monsoon,7.708,18.445,3,58.206
river,2.287,21.61,6.504,0.977,9,31.387,Monsoon,7.704,11.913,0,27.282
deep_borehole,26.983,25.965,9.607,0.441,11,87.49,Autumn,7.411,10.538,2,41.15
river,3.072,21.981,7.902,0.208,2,22.226,Winter,7.659,18.696,3,50.036
pond,1.624,30.818,5.869,0.364,8,30.423,Monsoon,8.163,6.766,0,22.107
shallow_well,0.943,25.092,5.683,0.614,2,25.026,Winter,7.809,11.503,2,22.051
rooftop_rainwater,8.287,23.889,8.228,0.512,11,124.968,Autumn,7.984,15.61,0,52.281
pond,1.208,23.337,7.575,0.635,12,44.677,Winter,7.683,0.967,3,15.43
shallow_well,1.494,26.002,8.683,0.662,6,34.249,Monsoon,7.526,16.02,4,41.854
piped_protected,3.567,26.547,8.056,0.123,8,3.98,Monsoon,7.24,20.983,2,55.055
river,3.308,20.056,5.169,0.315,1,45.716,Winter,6.557,11.995,1,39.828
piped_protected,9.269,29.191,5.84,0.749,7,64.345,Monsoon,7.48,24.317,2,57.981
piped_protected,16.969,26.413,5.683,0.65,9,79.641,Monsoon,7.68,6.003,2,28.316
shallow_well,14.328,29.166,7.326,0.088,6,26.29,Monsoon,7.544,9.55,4,35.805
deep_borehole,3.045,30.132,6.815,0.315,6,61.178,Monsoon,7.107,4.124,2,25.649
reservoir,2.814,24.702,6.316,0.931,9,50.407,Monsoon,7.541,24.332,0,52.398
shallow_well,33.753,27.571,6.534,0.862,2,4.553,Winter,7.697,17.504,0,38.527
community_tank,0.083,23.273,8.011,0.671,4,97.736,Summer,7.938,15.572,1,44.065
canal,21.179,23.597,6.729,0.073,11,27.311,Autumn,7.133,8.593,1,30.626
canal,2.228,29.717,5.978,0.607,8,40.547,Monsoon,7.586,23.671,1,54.761
pond,29.428,22.783,5.042,0.012,5,17.383,Summer,7.176,15.903,0,43.963
canal,4.19,25.589,5.646,0.661,9,64.153,Monsoon,7.6,19.791,2,51.48
shallow_well,5.804,22.277,8.602,0.731,3,45.94,Summer,7.085,18.761,0,44.217
spring,12.28,23.033,5.998,0.497,6,6.361,Monsoon,6.652,7.057,4,22.492
river,8.859,23.485,9.721,0.004,6,16.358,Monsoon,8.046,11.09,3,33.245
shallow_well,3.826,29.341,7.944,0.667,3,131.2,Summer,7.378,16.052,1,53.681
reservoir,8.071,26.541,5.775,0.82,6,70.765,Monsoon,7.111,12.985,3,38.846
shallow_well,13.12,27.526,6.081,0.586,1,23.177,Winter,7.293,19.368,1,42.027
rooftop_rainwater,0.433,19.58,3.837,0.709,5,23.461,Summer,6.881,21.638,1,52.267
river,0.113,25.104,6.34,0.09,2,13.448,Winter,7.849,23.571,0,53.137
community_tank,6.126,23.853,9.923,0.715,8,14.189,Monsoon,7.715,3.459,2,12.742
canal,1.414,26.477,9.45,0.614,7,39.143,Monsoon,7.347,18.818,1,47.706
river,10.917,32.22,9.413,0.331,7,163.926,Monsoon,7.69,16.919,2,74.99
canal,2.409,17.828,7.914,0.685,10,23.525,Autumn,7.462,5.898,1,21.263
pond,5.671,26.198,6.733,0.646,4,33.085,Summer,7.541,2.25,2,21.779
river,2.202,31.614,7.147,0.599,2,15.674,Winter,7.775,10.18,1,22.882
canal,7.951,23.471,7.817,0.183,3,29.218,Summer,7.914,2.18,3,19.866
community_tank,1.234,25.45,6.976,0.296,10,45.024,Autumn,7.083,19.618,1,50.947
open_catchment,0.234,27.03,5.821,0.991,4,211.769,Summer,7.207,13.458,2,55.565
piped_protected,0.525,18.532,6.892,0.433,3,102.912,Summer,7.183,14.743,3,53.48
piped_protected,30.847,25.799,4.971,0.059,3,102.886,Summer,7.672,13.987,3,51.79
community_tank,1.535,22.618,7.892,0.899,1,20.532,Winter,7.414,9.393,3,17.83
rooftop_rainwater,12.326,31.143,5.637,0.173,1,13.091,Winter,7.431,23.546,2,60.999
open_catchment,0.703,24.378,7.855,0.404,8,32.101,Monsoon,7.612,4.532,2,18.067
pond,1.145,22.869,5.38,0.278,8,17.646,Monsoon,7.133,14.187,2,38.515
community_tank,7.111,27.54,6.751,0.964,1,20.763,Winter,6.412,1.964,2,68.376
piped_protected,6.252,26.464,7.412,0.378,4,42.159,Summer,6.935,19.349,3,48.141
piped_protected,30.278,27.688,6.754,0.709,2,60.579,Winter,8.363,17.291,2,50.761
piped_protected,28.974,30.731,7.96,0.598,1,106.116,Winter,7.263,9.101,1,41.575
deep_borehole,15.124,23.244,7.672,0.043,2,53.396,Winter,7.589,24.709,3,63.108
community_tank,9.216,30.157,6.367,0.384,1,37.167,Winter,7.602,13.872,2,39.9
shallow_well,6.069,30.632,6.115,0.39,5,14.429,Summer,7.579,10.174,2,27.572
pond,4.403,22.694,6.008,0.99,10,106.783,Autumn,7.481,4.148,5,23.736
piped_protected,29.391,22.985,5.793,0.812,12,69.558,Winter,7.792,17.383,2,46.66
canal,9.236,25.142,10.146,0.857,6,21.101,Monsoon,7.723,13.954,4,29.537
community_tank,8.653,24.401,6.054,0.314,12,74.521,Winter,7.141,9.31,1,32.149
reservoir,2.638,30.127,8.638,0.329,8,35.838,Monsoon,6.946,18.129,1,49.654
deep_borehole,0.478,22.408,7.246,0.516,10,98.924,Autumn,7.447,20.711,1,55.671
community_tank,29.039,25.734,6.467,0.631,8,25.375,Monsoon,7.479,15.651,2,36.594
pond,3.765,22.704,7.291,0.728,4,26.295,Summer,7.261,17.257,1,39.617
deep_borehole,5.845,25.325,7.382,0.821,3,6.871,Summer,7.585,22.67,1,45.476
pond,1.218,31.425,4.363,0.873,12,20.405,Winter,7.366,4.753,2,24.204
community_tank,18.135,30.469,6.883,0.025,5,167.918,Summer,6.993,8.679,0,58.5
shallow_well,0.28,26.136,7.01,0.796,8,457.778,Monsoon,7.161,3.827,1,85.84
reservoir,17.957,26.889,6.506,0.611,5,49.92,Summer,7.296,18.715,2,44.861
pond,1.512,26.414,3.816,0.532,10,19.75,Autumn,7.33,7.76,1,25.822
deep_borehole,21.765,24.088,6.502,0.628,7,24.49,Monsoon,7.55,3.469,4,20.623
deep_borehole,13.085,30.75,9.42,0.882,4,30.619,Summer,7.163,0.28,4,24.944
pond,1.799,28.959,7.826,0.545,2,23.169,Winter,6.992,6.996,0,23.116
spring,8.343,25.703,5.421,0.162,9,70.28,Monsoon,7.888,15.533,2,43.302
community_tank,3.749,24.349,8.34,0.437,11,8.404,Autumn,7.489,0.809,2,14.92
spring,1.963,24.544,5.339,0.924,10,33.11,Autumn,7.016,11.28,2,28.282
rooftop_rainwater,19.603,26.016,7.403,0.814,2,198.434,Winter,6.817,22.701,3,71.444
community_tank,5.167,24.895,7.416,0.203,2,90.522,Winter,8.46,17.787,1,50.906
pond,5.084,28.419,6.449,0.714,8,245.753,Monsoon,8.269,14.793,2,77.339
open_catchment,1.862,26.437,8.563,0.256,10,28.216,Autumn,8.202,24.322,4,54.289
pond,4.83,22.139,8.131,0.349,6,17.107,Monsoon,7.215,6.917,3,26.354
spring,20.527,21.56,5.837,0.469,5,43.969,Summer,8.158,13.406,1,38.854
shallow_well,4.512,27.972,6.565,0.441,3,15.169,Summer,7.675,20.841,1,49.122
pond,30.283,21.531,5.715,0.029,7,19.346,Monsoon,8.146,1.98,6,27.527
pond,29.245,23.954,6.14,0.774,8,26.107,Monsoon,7.076,12.191,1,38.363
shallow_well,1.565,23.681,7.975,0.846,9,108.572,Monsoon,7.342,7.336,2,36.294
pond,1.952,21.285,6.98,0.531,11,81.611,Autumn,7.345,17.764,5,52.428
piped_protected,19.854,25.931,8.544,0.173,2,53.425,Winter,6.966,7.062,3,24.941
open_catchment,4.988,24.629,4.629,0.248,8,35.594,Monsoon,7.41,11.215,2,34.973
canal,0.044,23.087,7.414,0.126,5,185.867,Summer,7.147,7.471,3,52.005
open_catchment,3.2,31.256,8.247,0.17,1,49.679,Winter,7.946,21.678,5,60.622
reservoir,9.104,17.707,7.152,0.876,10,13.07,Autumn,7.843,20.729,0,51.08
pond,16.058,22.41,4.956,0.48,7,38.143,Monsoon,8.123,6.465,1,29.596
piped_protected,1.432,23.27,5.425,0.111,7,12.774,Monsoon,7.331,16.852,1,43.45
community_tank,1.171,20.925,8.363,0.255,10,19.271,Autumn,6.959,0.642,1,21.954
pond,25.522,31.774,6.201,0.95,12,126.884,Winter,7.129,7.79,0,42.049
spring,13.909,31.742,5.831,0.509,3,43.623,Summer,7.364,7.211,2,31.029
piped_protected,8.911,22.947,6.492,0.516,11,35.976,Autumn,7.916,5.457,3,19.151
shallow_well,14.661,28.806,6.62,0.526,3,41.852,Summer,7.916,8.334,1,25.748
piped_protected,5.601,26.79,8.779,0.112,4,29.865,Summer,8.036,19.877,2,49.836
shallow_well,14.207,29.968,4.382,0.97,5,4.233,Summer,7.46,4.014,4,20.263
rooftop_rainwater,4.649,24.678,7.864,0.084,5,67.035,Summer,6.77,21.658,1,57.889
canal,2.798,26.295,9.191,0.7,5,62.592,Summer,7.312,12.129,5,37.723
river,13.057,29.208,8.418,0.058,6,38.484,Monsoon,7.652,20.736,4,60.851
piped_protected,5.442,28.749,10.486,0.444,1,16.322,Winter,7.931,2.531,2,23.021
