source_type,turbidity_NTU,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,persons_with_symptoms,risk_percent
piped_protected,7.651,14.537,24.478,7.459,0.384,5,25.426,Summer,6.798,1,25.472
shallow_well,9.479,8.496,27.985,5.769,0.792,6,21.804,Monsoon,7.536,2,26.247
river,7.168,22.326,29.184,5.489,0.422,4,28.999,Summer,7.483,1,30.199
river,8.815,3.243,20.348,10.041,0.1,7,31.393,Monsoon,7.466,2,31.958
deep_borehole,6.387,2.773,25.461,7.588,0.096,12,136.347,Winter,7.776,2,45.97
reservoir,3.877,20.369,23.935,7.076,0.237,2,20.128,Winter,7.05,2,16.523
deep_borehole,4.258,9.819,23.537,8.815,0.565,8,272.384,Monsoon,7.383,2,70.248
rooftop_rainwater,0.753,0.014,29.026,9.636,0.83,4,40.197,Summer,6.253,0,73.931
deep_borehole,0.315,4.356,20.935,9.252,0.534,6,102.771,Monsoon,7.812,1,32.681
open_catchment,6.955,19.509,27.415,4.938,0.746,12,74.091,Winter,7.73,2,34.38
piped_protected,4.384,0.277,18.154,7.049,0.646,10,41.595,Autumn,7.105,3,19.438
community_tank,5.522,0.033,22.825,6.584,0.524,1,43.876,Winter,7.74,2,18.484
shallow_well,5.577,3.303,25.101,9.843,0.215,2,86.275,Winter,8.004,2,34.993
river,2.774,24.534,21.066,8.068,0.883,4,157.737,Summer,6.998,1,38.155
rooftop_rainwater,4.759,23.175,31.611,5.057,0.276,10,18.438,Autumn,8.211,5,26.923
rooftop_rainwater,4.708,7.314,22.848,4.238,0.253,9,14.659,Monsoon,7.473,3,23.423
community_tank,3.884,8.057,22.607,9.432,0.258,1,31.178,Winter,7.536,3,19.357
piped_protected,8.207,4.035,22.919,6.981,0.096,1,27.888,Winter,7.609,4,26.799
shallow_well,4.512,2.794,26.751,6.943,0.499,7,66.143,Monsoon,7.417,2,22.178
canal,6.036,16.886,27.722,6.484,0.328,10,38.332,Autumn,7.727,3,27.834
deep_borehole,8.955,1.124,23.685,5.753,0.522,8,30.81,Monsoon,7.503,2,23.285
pond,8.662,6.682,25.95,7.059,0.453,7,12.763,Monsoon,7.35,2,21.926
rooftop_rainwater,8.904,10.062,26.183,8.21,0.52,3,78.157,Summer,7.187,3,35.441
deep_borehole,2.7,1.095,20.676,6.958,0.298,8,69.843,Monsoon,7.81,1,29.437
deep_borehole,0.35,7.332,24.643,8.571,0.815,8,22.252,Monsoon,7.489,1,20.401
open_catchment,2.611,8.616,23.108,8.032,0.534,5,22.684,Summer,7.431,3,18.41
piped_protected,2.787,13.567,20.33,8.354,0.208,12,77.048,Winter,7.618,2,27.806
pond,9.094,2.677,25.64,7.275,0.902,8,44.255,Monsoon,7.584,2,25.104
reservoir,6.492,3.472,28.044,6.755,0.109,2,22.755,Winter,7.301,2,22.184
canal,0.817,8.429,25.132,5.274,0.733,9,122.732,Monsoon,7.759,1,32.359
river,1.354,40.82,17.285,8.478,0.678,5,10.631,Summer,7.534,0,24.465
open_catchment,1.557,2.453,23.629,7.384,0.073,3,80.005,Summer,9.371,1,89.121
deep_borehole,6.304,42.619,22.319,6.618,0.902,11,406.724,Autumn,7.661,5,86.693
deep_borehole,7.354,12.53,30.339,5.296,0.316,6,5.354,Monsoon,6.908,2,26.384
spring,8.596,17.492,23.983,8.902,0.741,12,10.79,Winter,7.458,1,19.54
pond,9.406,0.939,20.158,6.979,0.277,6,194.036,Monsoon,7.615,2,74.341
pond,2.017,3.573,24.863,9.824,0.526,3,39.532,Summer,6.96,0,17.876
spring,3.098,0.595,26.906,3.893,0.972,7,44.957,Monsoon,7.057,3,25.486
pond,2.403,4.645,25.297,7.469,0.611,8,67.231,Monsoon,7.013,3,22.988
deep_borehole,3.588,39.787,22.592,4.964,0.296,12,7.9,Winter,6.771,3,17.844
rooftop_rainwater,9.147,1.112,23.624,5.901,0.458,2,93.371,Winter,7.642,1,35.435
shallow_well,5.751,8.264,27.297,6.585,0.676,1,12.476,Winter,7.083,2,21.646
deep_borehole,7.382,0.061,25.303,7.936,0.445,11,82.924,Autumn,8.154,1,32.306
open_catchment,4.901,12.472,31.075,7.408,0.911,10,4.889,Autumn,7.337,1,20.911
piped_protected,0.289,2.196,25.294,6.178,0.867,9,58.063,Monsoon,7.272,1,24.517
spring,0.642,1.388,20.416,5.997,0.147,10,43.048,Autumn,6.95,3,25.745
canal,5.379,4.11,24.401,4.427,0.785,2,54.19,Winter,7.695,3,23.723
river,7.188,14.742,23.31,6.082,0.942,8,179.243,Monsoon,7.708,4,56.689
canal,2.153,1.127,20.343,5.884,0.317,2,28.993,Winter,8.095,2,19.26
deep_borehole,7.219,2.612,25.392,8.786,0.238,10,198.685,Autumn,7.799,3,64.578
open_catchment,8.107,0.085,23.746,6.403,0.01,3,8.743,Summer,7.645,1,19.947
deep_borehole,4.119,34.551,25.448,6.416,0.116,5,321.543,Summer,7.174,2,79.117
piped_protected,7.464,8.968,30.49,7.315,0.961,2,18.984,Winter,8.031,2,23.094
rooftop_rainwater,4.04,12.726,24.612,9.05,0.391,9,72.478,Monsoon,7.526,2,26.926
reservoir,6.784,10.538,28.074,9.019,0.387,11,68.201,Autumn,6.908,1,32.001
river,7.64,1.559,24.425,10.587,0.267,3,25.921,Summer,6.975,2,23.109
piped_protected,9.919,9.037,26.246,4.899,0.164,7,102.697,Monsoon,7.635,1,50.03
spring,3.454,1.409,25.359,7.246,0.509,2,49.728,Winter,7.467,1,24.508
spring,4.11,5.129,25.802,6.844,0.723,2,63.389,Winter,7.225,1,24.756
deep_borehole,1.656,8.416,24.605,4.265,0.551,7,20.765,Monsoon,7.005,5,17.685
open_catchment,2.041,8.184,29.351,5.25,0.035,1,63.171,Winter,7.742,2,29.318
piped_protected,6.934,1.268,26.896,8.365,0.803,3,17.319,Summer,7.732,2,17.778
community_tank,9.17,0.35,25.347,7.79,0.932,2,23.455,Winter,7.491,2,17.587
open_catchment,3.946,16.006,27.726,7.779,0.44,4,13.974,Summer,8.58,2,80.482
rooftop_rainwater,1.798,12.943,25.386,7.671,0.366,4,83.296,Summer,7.467,3,26.079
spring,2.851,0.854,28.35,4.473,0.23,10,34.484,Autumn,7.39,1,25.347
reservoir,4.551,1.363,21.461,5.353,0.302,12,14.465,Winter,7.792,1,16.932
deep_borehole,2.907,22.31,31.395,6.196,0.644,1,95.966,Winter,7.763,2,30.553
pond,2.336,14.659,25.517,8.245,0.77,5,4.932,Summer,7.421,3,14.831
spring,7.36,55.624,21.576,7.198,0.332,7,17.674,Monsoon,7.699,1,29.625
reservoir,0.078,2.93,27.247,8.356,0.34,12,24.552,Winter,7.3,3,21.148
river,5.392,6.69,28.881,9.934,0.451,9,19.196,Monsoon,7.179,3,24.362
shallow_well,7.938,2.698,21.925,4.617,0.17,4,99.871,Summer,8.15,2,41.736
pond,2.662,9.75,23.585,6.821,0.927,6,101.419,Monsoon,7.825,1,33.128
deep_borehole,6.033,1.226,28.045,6.828,0.705,9,68.816,Monsoon,7.655,1,27.959
community_tank,6.689,1.361,26.694,5.757,0.434,1,10.082,Winter,7.088,5,25.638
pond,6.55,0.746,23.68,7.66,0.122,10,22.491,Autumn,7.396,3,19.035
river,4.458,11.828,24.252,11.283,0.849,11,44.525,Autumn,8.067,2,21.934
open_catchment,3.466,6.814,21.249,5.578,0.484,1,78.973,Winter,7.038,2,29.181
community_tank,8.359,9.616,22.037,7.903,0.797,8,28.766,Monsoon,7.368,1,31.079
spring,7.584,21.145,19.981,5.432,0.033,12,48.112,Winter,7.959,3,29.595
community_tank,3.213,13.483,23.955,4.292,0.274,10,73.35,Autumn,6.686,0,28.417
piped_protected,1.03,6.194,27.033,6.08,0.622,11,91.524,Autumn,7.785,2,23.565
river,0.718,41.577,24.201,7.409,0.488,9,53.872,Monsoon,7.624,1,28.412
reservoir,0.943,6.093,28.35,7.599,0.295,1,24.092,Winter,7.447,3,21.754
pond,5.829,1.193,23.062,9.666,0.201,11,31.358,Autumn,7.449,0,24.497
piped_protected,0.517,49.137,20.527,7.418,0.302,10,22.751,Autumn,7.387,1,26.54
community_tank,3.369,0.231,28.465,7.02,0.742,7,85.106,Monsoon,7.722,0,30.04
piped_protected,7.532,7.982,26.102,8.249,0.184,5,31.427,Summer,7.64,3,22.631
canal,2.943,3.698,28.682,7.372,0.594,11,281.304,Autumn,7.323,0,60.351
river,7.633,7.003,23.99,6.964,0.424,8,28.136,Monsoon,7.676,1,27.139
reservoir,7.455,8.181,29.771,6.729,0.763,11,12.168,Autumn,7.091,1,22.067
rooftop_rainwater,2.458,2.746,21.77,7.954,0.202,6,506.411,Monsoon,7.461,0,100.0
open_catchment,7.288,8.139,24.138,7.792,0.27,10,96.775,Autumn,7.512,1,32.449
community_tank,7.478,14.108,26.223,6.604,0.399,4,12.141,Summer,7.997,2,23.556
river,3.975,3.099,23.592,9.162,0.167,3,12.919,Summer,6.585,3,14.813
rooftop_rainwater,2.104,4.836,25.683,8.263,0.461,12,300.842,Winter,7.413,2,65.769
rooftop_rainwater,5.213,3.123,28.743,8.444,0.416,3,13.979,Summer,7.681,2,23.442
deep_borehole,9.214,17.179,26.13,5.63,0.99,1,35.303,Winter,7.076,0,20.612
reservoir,6.396,12.909,24.465,6.23,0.594,2,59.818,Winter,7.651,0,27.014
piped_protected,1.729,20.495,28.679,9.275,0.069,9,114.315,Monsoon,7.129,2,38.213
rooftop_rainwater,6.828,1.864,26.537,8.56,0.46,5,282.814,Summer,7.734,0,76.444
canal,4.272,0.764,24.976,4.878,0.879,12,75.957,Winter,7.443,0,28.571
river,5.915,1.271,24.76,7.503,0.867,7,235.136,Monsoon,7.936,2,59.861
shallow_well,7.341,1.756,23.897,8.437,0.962,12,113.56,Winter,7.683,0,35.576
shallow_well,5.149,7.616,27.529,5.461,0.894,4,115.047,Summer,8.043,0,29.047
community_tank,8.14,35.374,27.642,8.516,0.176,2,71.383,Winter,7.68,3,33.409
spring,7.222,4.42,28.796,7.077,0.004,5,18.621,Summer,7.668,0,26.476
piped_protected,6.151,31.823,26.291,9.258,0.616,9,232.365,Monsoon,7.488,1,62.217
spring,1.508,0.389,23.367,6.809,0.702,9,26.263,Monsoon,7.94,1,13.559
rooftop_rainwater,8.359,26.155,25.992,4.832,0.131,12,92.171,Winter,7.396,1,40.167
river,9.359,1.999,23.313,7.793,0.167,12,5.809,Winter,7.666,1,19.973
community_tank,1.37,24.358,25.486,5.314,0.963,12,72.21,Winter,7.121,2,18.45
pond,4.882,0.579,29.229,6.141,0.944,8,155.123,Monsoon,7.443,2,41.858
rooftop_rainwater,2.589,29.607,28.544,4.274,0.157,5,11.701,Summer,8.071,3,25.793
piped_protected,7.545,2.241,27.716,5.788,0.247,11,58.413,Autumn,7.683,0,32.917
shallow_well,7.216,3.606,24.932,9.015,0.892,7,6.186,Monsoon,7.252,1,17.498
reservoir,1.409,6.752,27.688,7.221,0.435,1,37.873,Winter,7.616,2,20.919
deep_borehole,8.77,4.792,23.078,6.651,0.798,4,118.626,Summer,7.365,4,37.795
river,1.81,11.012,20.615,5.685,0.396,7,21.719,Monsoon,6.854,3,26.354
open_catchment,7.973,36.812,25.816,7.311,0.736,3,59.055,Summer,7.634,4,29.263
reservoir,4.57,9.325,23.874,6.668,0.397,4,54.458,Summer,8.08,1,27.27
spring,3.283,12.783,30.353,10.584,0.899,1,21.159,Winter,7.395,1,20.906
community_tank,1.582,0.921,29.897,7.034,0.326,8,22.836,Monsoon,7.644,1,28.395
spring,1.676,9.884,22.933,7.68,0.523,12,68.817,Winter,8.423,2,27.115
river,6.619,6.049,27.084,6.048,0.522,2,87.73,Winter,8.322,2,31.2
spring,5.504,21.696,19.076,6.974,0.649,10,8.008,Autumn,6.926,3,20.0
river,1.221,4.914,26.018,7.694,0.307,1,354.962,Winter,6.958,1,77.619
spring,1.127,11.377,25.942,5.617,0.643,3,24.834,Summer,7.86,1,22.967
reservoir,0.723,2.59,22.021,7.89,0.141,3,68.559,Summer,7.958,0,21.641
canal,7.438,3.003,25.495,7.194,0.894,7,64.705,Monsoon,7.807,0,23.468
reservoir,7.119,4.718,22.215,3.586,0.144,2,44.142,Winter,7.727,0,37.858
pond,0.584,3.625,27.556,8.236,0.84,7,23.161,Monsoon,7.979,0,20.836
rooftop_rainwater,5.603,2.929,25.559,7.732,0.693,1,22.458,Winter,7.485,4,16.253
rooftop_rainwater,0.847,0.509,29.478,7.357,0.341,10,25.521,Autumn,7.852,3,24.305
piped_protected,9.037,18.125,20.407,6.048,0.327,4,20.452,Summer,7.67,1,25.035
reservoir,9.071,0.665,22.396,10.698,0.966,8,5.767,Monsoon,7.729,2,20.267
reservoir,6.982,21.836,23.545,6.118,0.195,7,76.266,Monsoon,7.859,3,39.588
open_catchment,9.262,1.341,26.471,2.515,0.723,11,16.374,Autumn,9.199,2,86.749
open_catchment,8.115,0.675,25.813,7.776,0.184,5,581.521,Summer,7.819,0,100.0
piped_protected,8.285,8.278,26.275,6.797,0.905,7,67.575,Monsoon,7.291,4,29.593
deep_borehole,5.697,6.98,23.053,4.836,0.742,9,37.736,Monsoon,7.369,5,26.852
rooftop_rainwater,3.061,6.758,19.291,6.621,0.933,1,67.587,Winter,7.624,4,23.029
deep_borehole,2.178,8.545,22.72,6.899,0.879,2,12.4,Winter,7.79,3,15.702
river,3.272,3.384,29.225,5.866,0.549,1,265.007,Winter,7.853,2,60.323
river,6.285,10.875,23.139,7.166,0.152,5,27.377,Summer,8.165,3,24.753
shallow_well,1.727,6.98,25.532,7.533,0.221,3,153.185,Summer,6.551,0,43.989
spring,2.586,4.076,25.183,6.931,0.202,10,62.817,Autumn,8.022,3,22.012
open_catchment,4.681,17.516,25.551,5.616,0.221,1,232.671,Winter,6.957,2,59.265
shallow_well,2.331,13.009,20.994,7.703,0.476,12,49.345,Winter,7.893,1,21.65
pond,5.886,5.002,27.454,4.573,0.868,1,16.839,Winter,6.41,1,75.795
piped_protected,9.232,18.814,24.702,7.61,0.023,7,63.293,Monsoon,7.351,1,39.899
piped_protected,7.481,25.29,31.931,7.463,0.238,11,43.516,Autumn,7.841,3,38.22
river,6.664,7.697,23.881,6.675,0.597,2,51.34,Winter,7.051,0,19.667
reservoir,5.827,2.42,27.931,6.234,0.865,11,51.667,Autumn,7.455,1,21.246
rooftop_rainwater,4.879,24.745,23.836,5.159,0.297,9,10.125,Monsoon,6.852,2,18.936
deep_borehole,1.866,2.101,30.758,6.202,0.383,12,73.851,Winter,7.422,2,25.607
open_catchment,8.947,0.496,27.192,5.78,0.373,12,6.287,Winter,6.625,2,18.125
shallow_well,2.485,3.967,21.144,5.487,0.294,7,65.472,Monsoon,7.615,5,31.268
deep_borehole,0.913,12.982,29.221,5.194,0.699,10,62.023,Autumn,7.119,0,25.364
reservoir,7.5,25.675,27.326,8.971,0.656,1,108.881,Winter,7.482,1,38.55
shallow_well,1.756,10.141,23.598,8.146,0.843,11,36.999,Autumn,7.048,1,16.44
spring,3.719,30.332,20.16,10.664,0.918,1,8.575,Winter,7.686,2,19.622
pond,0.283,0.969,28.594,7.354,0.9,4,30.713,Summer,7.277,3,18.415
pond,1.371,0.627,30.183,8.081,0.54,3,32.873,Summer,7.927,0,23.14
deep_borehole,1.732,9.268,28.357,6.892,0.186,6,92.351,Monsoon,7.906,3,34.267
deep_borehole,0.544,33.848,27.609,9.268,0.222,11,189.951,Autumn,6.371,1,83.931
deep_borehole,6.567,6.986,26.673,6.923,0.59,12,135.535,Winter,7.799,1,39.046
shallow_well,8.37,0.529,28.177,8.462,0.918,8,28.735,Monsoon,8.256,2,24.371
spring,3.733,2.5,24.214,7.279,0.53,10,18.752,Autumn,6.963,3,17.631
canal,8.746,2.808,19.556,9.76,0.936,7,140.553,Monsoon,7.709,3,48.124
deep_borehole,2.133,4.123,27.277,6.277,0.262,1,14.977,Winter,7.372,3,15.448
rooftop_rainwater,3.254,0.446,26.178,8.722,0.086,6,15.113,Monsoon,7.67,1,17.681
reservoir,1.507,23.527,20.789,6.838,0.796,12,74.961,Winter,7.771,1,24.122
open_catchment,6.206,7.248,18.421,5.746,0.879,9,13.257,Monsoon,7.375,2,22.154
open_catchment,4.199,11.115,25.244,6.923,0.448,9,22.697,Monsoon,6.669,2,20.892
reservoir,6.133,0.695,24.534,3.628,0.102,2,46.381,Winter,7.916,2,23.934
shallow_well,7.617,0.556,24.28,8.402,0.042,8,68.923,Monsoon,7.505,1,33.438
reservoir,5.457,8.83,26.739,7.999,0.063,11,59.812,Autumn,7.939,2,27.548
deep_borehole,6.276,21.83,22.765,9.848,0.439,4,26.975,Summer,7.231,1,25.306
river,9.353,7.518,27.062,5.557,0.235,3,17.226,Summer,7.601,2,20.941
piped_protected,2.991,21.023,27.084,5.885,0.462,7,8.483,Monsoon,8.16,1,19.967
canal,3.592,16.66,17.018,5.105,0.488,5,38.278,Summer,8.655,2,79.594
rooftop_rainwater,7.177,0.789,24.794,7.548,0.458,6,25.494,Monsoon,8.162,2,20.736
reservoir,6.113,2.256,25.6,6.377,0.62,4,253.393,Summer,7.656,3,61.902
spring,1.785,10.721,27.244,5.762,0.679,9,15.533,Monsoon,7.571,1,11.609
river,3.761,5.861,26.647,7.6,0.396,12,41.369,Winter,7.413,3,22.027
reservoir,4.678,3.435,19.747,8.653,0.337,3,15.358,Summer,7.637,1,22.689
pond,4.194,5.424,25.287,7.159,0.368,5,8.787,Summer,7.816,1,18.615
river,1.783,5.891,24.222,6.282,0.07,2,43.062,Winter,7.748,1,24.973
shallow_well,9.244,24.141,28.225,8.758,0.322,4,9.566,Summer,7.025,1,24.896
canal,7.623,1.092,21.404,6.619,0.2,7,40.985,Monsoon,7.192,0,35.755
community_tank,4.814,3.281,24.992,6.597,0.291,10,21.756,Autumn,7.106,4,18.116
community_tank,6.801,7.712,27.614,7.769,0.714,5,13.101,Summer,7.952,2,17.149
deep_borehole,8.973,11.983,27.281,5.971,0.989,6,43.105,Monsoon,7.823,4,27.958
deep_borehole,1.362,9.96,24.537,8.537,0.924,11,58.722,Autumn,8.002,3,19.931
shallow_well,2.504,28.412,28.539,5.624,0.822,5,153.427,Summer,7.092,3,40.62
spring,5.427,15.877,22.807,6.085,0.737,7,9.561,Monsoon,7.676,0,16.672
deep_borehole,7.99,8.144,27.196,5.271,0.945,12,61.67,Winter,7.134,1,26.077
piped_protected,0.363,2.417,27.695,8.295,0.752,9,11.304,Monsoon,7.35,2,21.448
canal,9.84,5.994,20.895,9.033,0.471,11,95.682,Autumn,7.448,1,37.192
reservoir,4.549,11.822,28.909,6.771,0.601,12,45.121,Winter,9.489,2,89.989
shallow_well,3.592,18.199,20.054,7.67,0.306,7,88.573,Monsoon,7.489,1,34.407
open_catchment,2.927,32.123,26.121,7.55,0.003,3,27.838,Summer,7.736,2,20.512
reservoir,1.744,9.3,23.594,7.445,0.354,7,125.206,Monsoon,8.11,2,36.081
reservoir,7.916,7.485,28.037,5.264,0.405,3,13.17,Summer,7.082,3,18.151
pond,9.554,0.179,25.989,6.018,0.733,4,40.936,Summer,7.903,2,27.578
shallow_well,4.136,0.748,30.373,8.14,0.859,6,80.544,Monsoon,7.629,2,32.172
shallow_well,9.524,1.697,28.41,8.824,0.963,7,92.656,Monsoon,7.208,0,38.136
community_tank,8.238,0.563,25.396,8.424,0.352,8,12.434,Monsoon,7.161,4,22.662
rooftop_rainwater,4.811,5.123,28.615,7.025,0.957,9,26.402,Monsoon,7.246,1,20.198
spring,6.74,4.108,24.69,8.203,0.799,1,16.437,Winter,7.851,3,16.25
rooftop_rainwater,4.35,10.143,21.732,4.694,0.031,4,48.333,Summer,6.7,0,24.114
piped_protected,5.587,7.671,23.628,3.97,0.595,3,58.723,Summer,7.33,1,30.552
open_catchment,0.58,9.063,24.656,4.937,0.366,6,40.124,Monsoon,7.154,0,25.447
reservoir,6.963,6.386,15.677,11.232,0.034,6,19.301,Monsoon,7.772,1,31.118
community_tank,0.528,3.254,29.151,10.117,0.532,8,86.633,Monsoon,7.198,1,33.728
open_catchment,8.171,30.539,24.709,4.604,0.585,11,17.253,Autumn,7.263,4,20.353
reservoir,8.249,0.904,27.892,6.666,0.252,4,8.003,Summer,8.381,3,21.501
piped_protected,2.371,27.951,25.482,6.352,0.94,4,19.239,Summer,7.097,1,13.822
rooftop_rainwater,3.237,3.729,20.376,8.942,0.61,1,18.696,Winter,7.526,5,21.392
shallow_well,4.813,7.188,25.238,7.982,0.176,11,19.502,Autumn,7.77,2,15.419
deep_borehole,5.967,1.152,24.64,6.433,0.721,11,45.852,Autumn,7.26,2,17.753
deep_borehole,2.874,0.736,22.943,7.844,0.499,3,15.583,Summer,7.048,2,19.615
river,5.925,5.613,23.829,8.16,0.473,3,81.807,Summer,6.756,2,28.589
pond,2.978,13.536,25.08,4.207,0.835,12,40.765,Winter,7.065,1,22.354
spring,0.555,3.138,17.637,7.798,0.138,8,27.293,Monsoon,8.061,2,25.417
piped_protected,0.025,8.263,26.08,6.971,0.491,8,59.142,Monsoon,7.472,3,23.813
pond,1.012,3.266,26.812,5.282,0.781,8,14.441,Monsoon,7.47,2,20.205
spring,7.923,4.92,26.503,6.113,0.66,9,36.316,Monsoon,7.396,1,27.831
reservoir,9.614,23.692,24.156,7.425,0.005,8,18.688,Monsoon,8.052,0,23.148
pond,4.27,19.368,30.892,7.187,0.787,6,28.687,Monsoon,7.249,2,18.029
rooftop_rainwater,5.127,7.257,26.533,6.716,0.945,5,28.013,Summer,7.726,0,24.36
spring,1.468,2.719,23.746,6.547,0.705,4,18.496,Summer,7.615,0,15.837
rooftop_rainwater,5.51,2.147,21.283,7.083,0.876,3,15.397,Summer,7.894,2,16.69
shallow_well,1.447,30.81,20.905,4.592,0.361,7,34.245,Monsoon,6.868,1,29.316
community_tank,6.112,2.265,26.2,9.573,0.351,9,34.494,Monsoon,8.302,0,19.84
rooftop_rainwater,9.333,16.511,27.166,6.456,0.321,1,117.938,Winter,7.212,3,44.617
reservoir,1.957,4.604,25.373,7.759,0.735,2,51.674,Winter,6.961,1,16.853
deep_borehole,7.646,42.447,24.83,9.427,0.942,8,3.93,Monsoon,7.876,3,16.612
pond,0.235,4.591,23.983,8.702,0.885,4,13.923,Summer,7.47,1,13.247
reservoir,3.755,4.331,26.478,7.453,0.15,8,35.086,Monsoon,8.095,1,17.235
river,1.107,10.146,22.672,6.835,0.626,6,41.279,Monsoon,7.462,2,17.421
canal,3.525,32.575,24.941,6.965,0.996,1,25.902,Winter,7.087,2,17.07
spring,1.735,37.385,25.278,4.558,0.295,6,23.177,Monsoon,7.381,2,17.961
piped_protected,3.733,12.283,26.73,5.17,0.635,12,35.74,Winter,7.525,4,21.8
river,4.175,14.049,22.545,7.36,0.907,1,124.452,Winter,8.057,1,33.357
deep_borehole,3.006,8.287,21.987,6.433,0.9,8,98.486,Monsoon,7.721,3,31.671
rooftop_rainwater,6.566,14.097,25.149,4.753,0.321,1,39.322,Winter,7.367,0,27.08
community_tank,9.189,19.645,25.621,7.435,0.094,5,48.982,Summer,7.155,2,32.055
reservoir,4.006,6.657,24.984,8.133,0.646,10,14.429,Autumn,7.7,1,12.876
shallow_well,1.923,9.672,16.859,8.748,0.947,6,16.388,Monsoon,4.478,2,90.237
canal,2.707,7.707,25.998,7.797,0.508,8,14.967,Monsoon,7.939,2,19.376
open_catchment,8.54,8.266,32.705,6.053,0.458,4,32.971,Summer,8.193,2,29.16
river,5.716,22.077,27.755,8.026,0.864,3,4.699,Summer,7.877,3,19.965
community_tank,4.55,4.395,19.132,7.422,0.425,5,34.465,Summer,7.899,3,20.169
open_catchment,1.496,2.334,23.784,5.612,0.681,11,61.027,Autumn,8.154,6,20.225
canal,4.497,6.093,24.414,5.562,0.389,8,87.705,Monsoon,7.494,1,24.502
piped_protected,2.785,2.333,24.037,8.274,0.377,8,31.172,Monsoon,7.554,3,24.251
piped_protected,9.432,6.9,21.283,7.471,0.188,5,6.801,Summer,8.87,2,90.604
pond,8.841,23.383,22.321,7.386,0.088,9,15.985,Monsoon,7.12,0,28.07
canal,0.839,9.609,27.801,7.095,0.885,2,62.221,Winter,7.544,4,22.907
canal,5.167,19.34,27.241,7.903,0.181,4,5.823,Summer,7.038,2,16.575
open_catchment,2.251,1.818,24.665,6.232,0.062,1,31.321,Winter,7.419,2,22.564
community_tank,4.108,23.114,27.844,6.809,0.582,11,35.471,Autumn,8.118,2,23.654
reservoir,8.768,9.208,23.03,8.118,0.546,8,91.484,Monsoon,7.602,3,43.916
spring,5.275,0.323,23.972,7.055,0.568,2,27.459,Winter,7.441,0,14.886
open_catchment,3.342,10.027,23.906,5.876,0.468,8,23.547,Monsoon,8.074,2,15.517
shallow_well,2.079,30.241,20.346,5.968,0.142,8,3.619,Monsoon,7.199,2,28.767
piped_protected,8.003,0.825,24.233,7.067,0.021,8,69.132,Monsoon,7.779,5,32.539
piped_protected,6.245,8.734,29.914,3.122,0.046,11,10.859,Autumn,6.968,3,34.685
pond,4.681,24.708,29.586,9.626,0.943,6,12.63,Monsoon,7.762,3,18.133
reservoir,2.175,0.097,25.352,6.739,0.532,8,45.144,Monsoon,7.41,1,20.4
shallow_well,3.342,9.967,24.344,7.728,0.4,4,7.69,Summer,7.504,3,14.466
piped_protected,9.598,6.442,30.307,7.956,0.411,6,111.042,Monsoon,7.77,5,50.802
open_catchment,5.201,4.262,24.26,7.378,0.652,11,109.185,Autumn,7.598,6,28.21
shallow_well,4.007,9.876,23.445,4.951,0.377,2,19.096,Winter,6.745,2,19.994
open_catchment,5.214,0.541,27.871,5.4,0.796,7,33.198,Monsoon,7.25,0,19.952
spring,7.79,13.986,19.867,4.766,0.26,12,5.492,Winter,7.758,1,22.003
spring,3.401,0.045,24.667,8.642,0.367,1,17.119,Winter,7.664,2,10.862
piped_protected,1.787,3.666,24.803,4.686,0.935,9,76.536,Monsoon,7.643,2,26.333
piped_protected,5.849,7.011,26.546,6.005,0.26,10,89.753,Autumn,7.753,3,34.206
community_tank,6.652,4.732,23.223,8.96,0.662,2,18.279,Winter,7.764,1,21.525
spring,7.127,3.674,24.49,5.306,0.365,7,24.371,Monsoon,8.059,3,23.161
reservoir,8.82,17.769,25.281,7.224,0.471,6,28.278,Monsoon,7.996,5,25.442
reservoir,3.712,27.308,24.237,8.139,0.045,2,4.063,Winter,7.973,1,20.552
river,0.754,20.692,24.444,6.912,0.167,6,23.197,Monsoon,7.454,1,21.765
river,9.583,7.39,27.498,7.234,0.102,3,36.749,Summer,7.134,1,33.072
pond,4.35,21.556,26.743,7.8,0.845,1,190.511,Winter,6.721,1,48.232
spring,6.233,25.366,26.554,9.679,0.962,9,131.291,Monsoon,7.262,0,38.95
open_catchment,6.663,5.263,20.069,5.599,0.068,7,132.358,Monsoon,7.867,1,54.246
open_catchment,5.465,3.333,26.289,6.341,0.077,9,156.926,Monsoon,6.778,2,57.047
deep_borehole,2.053,1.034,22.478,7.949,0.552,12,96.211,Winter,6.935,1,33.118
shallow_well,7.551,6.522,30.974,6.705,0.504,10,20.393,Autumn,7.788,4,23.918
rooftop_rainwater,8.038,29.243,24.972,6.159,0.651,4,18.461,Summer,6.895,4,17.294
river,5.53,8.23,24.412,8.547,0.737,7,32.566,Monsoon,7.665,2,24.032
piped_protected,4.886,11.013,29.557,3.662,0.797,2,10.75,Winter,8.088,3,25.119
pond,1.139,1.198,28.626,8.692,0.149,1,168.831,Winter,8.325,3,44.704
reservoir,0.84,1.549,24.288,9.382,0.038,8,29.531,Monsoon,6.699,1,20.186
rooftop_rainwater,3.396,6.245,21.47,6.692,0.889,7,62.734,Monsoon,8.213,1,23.731
canal,3.108,30.214,19.709,5.027,0.47,5,130.438,Summer,7.26,1,41.489
pond,9.537,4.475,21.858,7.266,0.971,10,93.773,Autumn,7.245,2,33.431
